param,value
pi_mle,0.020351044184996406
pi_ci_lo,0.018948419154267968
pi_ci_hi,0.02176695545641846
sens_zero,0.05583457478331855
sens_resid,0.5832457026357075
p_cross,0.30274
median_missing,6715.0
