gem_key,land,ew_BSW,ew_AfD,ew_FDP,ew_Die Linke,ew_SPD,ew_CDU,ew_GRÜNE,ew_CSU,ew_FREIE WÄHLER,ew_valid,btw_BSW,btw_AfD,btw_FDP,btw_Die Linke,btw_SPD,btw_CDU,btw_GRÜNE,btw_CSU,btw_FREIE WÄHLER,btw_valid,swing_BSW,swing_AfD,swing_FDP,swing_Die Linke,swing_SPD,swing_CDU,swing_GRÜNE,swing_CSU,swing_FREIE WÄHLER,swing_z
01_01_000,01,5.051573657762496,10.27866605756053,5.0900435190305595,4.145127551633767,15.751003822942463,19.869683344954435,23.832079055564908,0.0,0.6948618691543844,41591.0,3.327793099669413,13.831710836331757,3.298569889134445,12.861865536702528,15.678252452010009,17.448083140033972,20.60966922978576,0.0,0.32876111851838324,54751,-1.7237805580930834,3.553044778771227,-1.7914736298961147,8.716737985068761,-0.07275137093245476,-2.4216002049204626,-3.222409825779149,0.0,-0.36610075063600117,0.04021725147754438
01_02_000,01,3.8153988709096214,8.024606620107418,5.173567616727011,4.8381007944815275,17.020436879043192,19.49482643238327,24.375825797484428,0.0,0.6623539303670402,116554.0,3.3559940308406566,10.908307080086221,3.828884098822749,14.410877134803515,19.284364118719946,18.74117061847123,23.096003979439562,0.0,0.3482009616978942,150775,-0.45940484006896476,2.8837004599788028,-1.344683517904262,9.572776340321987,2.263927239676754,-0.7536558139120402,-1.2798218180448657,0.0,-0.31415296866914594,0.506945924206735
01_03_000,01,4.033182566646518,10.723888529920588,5.278570981928841,3.3880817891906534,18.66415157262855,23.002688788377764,19.703191112408028,0.0,1.0244492152489735,95954.0,3.775255074309319,15.286599475098225,3.789231748792571,10.90413554268321,21.44254810305468,21.85330703647912,18.332738030531267,0.0,0.6763157486062149,128786,-0.257927492337199,4.562710945177637,-1.4893392331362696,7.516053753492557,2.7783965304261287,-1.1493817518986447,-1.3704530818767608,0.0,-0.34813346664275857,0.5813187975159414
01_04_000,01,4.6369551272260745,17.402327641506552,5.867978128722852,2.165745181293338,17.185447658612578,28.389895225585725,11.363289244585637,0.0,0.9194489415645904,32737.0,4.615558060879368,22.295377677564826,4.1420518602029315,8.058624577226608,19.591882750845546,25.332581736189404,10.498308906426155,0.0,0.7350620067643743,44350,-0.02139706634670624,4.893050036058273,-1.7259262685199204,5.89287939593327,2.406435092232968,-3.0573134893963214,-0.8649803381594818,0.0,-0.18438693480021617,0.6686310815221002
01_51_001,01,4.894578313253012,17.24397590361446,5.873493975903615,2.5602409638554215,15.286144578313255,34.93975903614458,7.228915662650602,0.0,1.2048192771084338,1328.0,3.3013205282112845,24.789915966386555,4.861944777911164,6.902761104441776,17.22689075630252,28.57142857142857,7.743097238895558,0.0,0.5402160864345739,1666,-1.5932577850417275,7.545940062772097,-1.0115491979924505,4.3425201405863545,1.940746177989265,-6.36833046471601,0.5141815762449564,0.0,-0.66460319067386,0.0883981203116852
01_51_002,01,4.761904761904762,17.006802721088434,6.122448979591836,2.7210884353741496,10.884353741496598,46.25850340136054,7.482993197278912,0.0,2.0408163265306123,147.0,2.366863905325444,19.526627218934912,6.508875739644971,4.733727810650888,18.34319526627219,32.544378698224854,7.6923076923076925,0.0,0.0,169,-2.395040856579318,2.5198244978464786,0.38642676005313437,2.012639375276738,7.4588415247755915,-13.714124703135688,0.20931449502878063,0.0,-2.0408163265306123,-0.2075701931104292
01_51_003,01,2.066115702479339,32.64462809917356,4.132231404958678,1.6528925619834711,11.983471074380166,29.75206611570248,4.132231404958678,0.0,1.6528925619834711,242.0,2.095808383233533,40.7185628742515,2.3952095808383236,3.8922155688622757,14.37125748502994,25.149700598802394,2.095808383233533,0.0,0.8982035928143712,334,0.029692680754193734,8.073934775077937,-1.7370218241203546,2.239323006878805,2.387786410649774,-4.602365516900086,-2.0364230217251453,0.0,-0.7546889691690999,0.6874902303609726
01_51_004,01,4.675324675324675,16.883116883116884,7.792207792207792,0.7792207792207793,11.688311688311687,42.33766233766234,6.493506493506493,0.0,1.5584415584415585,385.0,3.543307086614173,23.818897637795274,6.889763779527559,4.921259842519685,12.007874015748031,35.826771653543304,7.480314960629922,0.0,1.1811023622047243,508,-1.132017588710502,6.93578075467839,-0.9024440126802329,4.142039063298906,0.31956232743634416,-6.510890684119033,0.9868084671234296,0.0,-0.3773391962368342,0.258659239355825
01_51_005,01,3.1914893617021276,14.893617021276595,6.382978723404255,3.1914893617021276,13.829787234042554,37.234042553191486,8.51063829787234,0.0,1.0638297872340425,94.0,3.0,19.0,6.0,5.0,17.0,30.0,12.0,0.0,1.0,100,-0.1914893617021276,4.1063829787234045,-0.3829787234042552,1.8085106382978724,3.170212765957446,-7.234042553191486,3.4893617021276597,0.0,-0.06382978723404253,0.6058436124802572
01_51_006,01,2.9069767441860463,22.093023255813954,6.395348837209303,1.1627906976744187,13.372093023255813,39.24418604651162,7.267441860465117,0.0,1.744186046511628,344.0,1.6826923076923077,27.403846153846157,5.769230769230769,5.048076923076923,17.78846153846154,31.009615384615387,5.769230769230769,0.0,1.6826923076923077,416,-1.2242844364937386,5.310822898032203,-0.6261180679785339,3.8852862254025045,4.416368515205727,-8.234570661896235,-1.4982110912343476,0.0,-0.06149373881932019,0.22460007261536183
