gem_key,z25_valid,z25_BSW,z25_Die Linke,z25_AfD,z25_SPD,z25_CDU,z25_FDP,z25_GRÜNE,z21_valid,z21_Die Linke,z21_AfD,z21_SPD,z21_CDU,z21_FDP,z21_GRÜNE,z17_valid,z17_Die Linke,z17_AfD,z17_SPD,z17_CDU,z17_FDP,z17_GRÜNE,z13_valid,z13_Die Linke,z13_AfD,z13_SPD,z13_CDU,z13_FDP,z13_GRÜNE,land,deficit
01_01_000,54751,3.327793099669413,12.861865536702528,13.831710836331757,15.678252452010009,17.448083140033972,3.298569889134445,20.60966922978576,50818.0,6.204494470463222,5.423275217442638,24.558227399740247,14.073753394466529,9.406115943169743,24.196150970128695,49271,11.566641635038867,7.513547522883643,24.643299303850135,27.1599926934708,10.296117391569078,15.051450143086198,46265,8.170323138441587,4.009510429050038,35.62087971468713,30.55441478439425,4.454771425483627,11.903166540581434,01,-572.6643893041015
01_02_000,150775,3.3559940308406566,14.410877134803515,10.908307080086221,19.284364118719946,18.74117061847123,3.828884098822749,23.096003979439562,139961.0,6.414644079422124,5.017826394495609,26.012246268603395,14.527618407985083,10.242138881545573,28.919484713598788,137368,10.700454254265914,6.933201327820162,24.09076349659309,25.861190379127596,11.426969891095453,17.467678061848467,130686,7.252498354835255,3.6560917007177505,35.25243713940284,29.105642532482438,5.117610149518693,14.396339317141852,01,213.64048423610595
01_03_000,128786,3.775255074309319,10.90413554268321,15.286599475098225,21.44254810305468,21.85330703647912,3.789231748792571,18.332738030531267,117674.0,4.554956914866495,6.6344307153661815,30.708567737988,17.639410574978328,10.166221935176845,23.039923857436648,117879,9.697231907294768,8.874354210673657,25.54229336862376,28.93475513026069,10.744916397322678,12.91408987181771,112029,6.601862017870373,4.277463870961983,34.547304715743245,33.652893447232415,4.680930830409983,11.212275392978603,01,-825.3639565614652
01_04_000,44350,4.615558060879368,8.058624577226608,22.295377677564826,19.591882750845546,25.332581736189404,4.1420518602029315,10.498308906426155,39971.0,3.30239423582097,9.38430362012459,32.20334742688449,20.23717194966351,11.913637387105652,14.613094493507795,39861,7.102180075763277,10.34595218383884,25.719374827525655,31.125661674318255,12.117106946639572,10.483931662527283,39388,5.4762871940692595,4.988829085000508,35.77739413019194,35.975423987001115,4.887275312277851,7.512440337158526,01,35.11975413514233
01_51_001,1666,3.3013205282112845,6.902761104441776,24.789915966386555,17.22689075630252,28.57142857142857,4.861944777911164,7.743097238895558,1498.0,3.871829105473965,9.279038718291055,25.500667556742325,27.570093457943923,13.484646194926569,10.347129506008011,1638,6.043956043956044,8.424908424908425,21.001221001221,40.04884004884005,13.98046398046398,8.11965811965812,1500,4.333333333333334,4.333333333333334,26.266666666666666,48.06666666666667,6.7333333333333325,5.4,01,-21.356828392015895
01_51_002,169,2.366863905325444,4.733727810650888,19.526627218934912,18.34319526627219,32.544378698224854,6.508875739644971,7.6923076923076925,155.0,3.870967741935484,14.838709677419354,15.483870967741936,23.870967741935484,19.35483870967742,12.258064516129032,109,1.834862385321101,8.256880733944955,12.844036697247708,44.95412844036697,16.51376146788991,11.926605504587156,124,4.838709677419355,2.4193548387096775,18.548387096774192,54.03225806451613,7.258064516129033,8.064516129032258,01,-2.090581413260767
01_51_003,334,2.095808383233533,3.8922155688622757,40.7185628742515,14.37125748502994,25.149700598802394,2.3952095808383236,2.095808383233533,255.0,1.9607843137254901,16.862745098039216,31.372549019607842,25.098039215686274,9.803921568627452,4.313725490196078,274,1.824817518248175,9.48905109489051,27.73722627737226,36.86131386861314,13.503649635036496,6.569343065693431,260,2.6923076923076925,6.923076923076923,31.92307692307692,40.76923076923077,6.538461538461539,3.4615384615384617,01,-6.370178491816941
01_51_004,508,3.543307086614173,4.921259842519685,23.818897637795274,12.007874015748031,35.826771653543304,6.889763779527559,7.480314960629922,453.0,2.207505518763797,7.06401766004415,26.71081677704194,28.2560706401766,16.99779249448124,9.271523178807946,465,7.311827956989248,7.956989247311828,21.72043010752688,44.3010752688172,10.967741935483872,5.376344086021505,483,4.761904761904762,2.691511387163561,29.39958592132505,50.72463768115942,4.968944099378882,2.691511387163561,01,-13.207114512123606
01_51_005,100,3.0,5.0,19.0,17.0,30.0,6.0,12.0,96.0,2.083333333333333,14.583333333333334,26.041666666666668,35.41666666666667,10.416666666666668,9.375,110,3.6363636363636362,17.272727272727273,21.818181818181817,35.45454545454545,14.545454545454545,7.2727272727272725,101,1.9801980198019802,0.9900990099009901,25.742574257425744,53.46534653465347,2.9702970297029703,10.891089108910892,01,-1.340894354806096
01_51_006,416,1.6826923076923077,5.048076923076923,27.403846153846157,17.78846153846154,31.009615384615387,5.769230769230769,5.769230769230769,386.0,3.6269430051813467,12.694300518134716,23.316062176165804,26.94300518134715,15.544041450777202,10.362694300518134,419,6.921241050119331,10.023866348448687,22.195704057279237,38.18615751789976,14.797136038186157,5.966587112171838,435,5.057471264367816,2.9885057471264367,33.793103448275865,46.43678160919541,4.137931034482759,4.827586206896552,01,-17.522153784632405
