Wahlkreis,swing_BSW,swing_AfD,swing_FDP,swing_Die Linke,swing_SPD,swing_CDU,swing_GRÜNE,swing_CSU,swing_FREIE WÄHLER
1,-1.5150646433240536,3.958451304515572,-1.7907171073372319,5.786479517386016,-0.10902694117701545,-4.21169144356016,-1.6037462503688256,0.0,-0.8648437207559596
2,-1.08410484146497,3.9444904405307595,-1.3113198851611154,4.433540219461275,1.4313472674427081,-5.576541239372985,-0.5324718375887812,0.0,-0.7812447988035748
3,-0.2792736157266275,4.673190591255228,-1.3425913836662304,4.8316458110332,2.2023354115151266,-4.247081824209654,0.07875341392659538,0.0,-0.5795362021344352
4,-0.8293677807158298,3.888182738369643,-1.5127680383436313,4.535556496583789,1.309255013299438,-3.4482869998244223,-0.1661020161680844,0.0,-0.6418425771488718
5,-0.4751078682259156,2.8210915568915707,-1.4364813604327755,9.141625679768037,2.2249243076086462,-0.8288357349862023,-1.0765251533887052,0.0,-0.3107378830365557
6,-0.3708501843281552,4.363061582206319,-1.6843292536364245,4.857078038509397,1.9775809744164463,-2.3279117361486077,-0.35592824527393624,0.0,-0.36704985555862
7,-0.5729218354338803,3.7979350207769453,-2.140805662839793,5.40820336947526,2.6776749947671905,-1.1494057761533956,-0.383540003304462,0.0,-0.3601930823010285
8,-0.48648310248591037,4.182864575675844,-1.9089457853672842,5.079621134537127,2.7898612462137824,-1.6109424298952701,-0.30324864256673295,0.0,-0.3605161535376534
9,-0.8095589350948504,4.7834134483693065,-1.1177084587354404,4.336642285306155,2.358615612904219,-3.0948906916413197,-0.049350015813937005,0.0,-0.6048084215054264
10,-0.326461485252439,4.141090723159839,-1.7598533281523008,4.9770542573024485,2.5152424915821245,-1.2432931326635928,-0.3626482747586118,0.0,-0.29734396665679325
11,-0.2932901377225399,4.621220322082641,-1.4599853135190473,7.269660291108691,2.7056695129816806,-1.2740503295639605,-1.2675449781727803,0.0,-0.3755704144454384
12,-5.521381152622712,6.718916097693683,0.3508124828627099,6.8821952421997095,1.3157712220993731,-3.3699733940014074,0.6456715285254833,0.0,0.1156726846128377
13,-6.083878392865381,7.440882731507224,0.28215936314082235,6.243391733223109,2.4996442172047746,-3.90544363501651,0.5340998442729413,0.0,0.14598623908064748
14,-6.198255420151105,5.332045504428809,0.1565025945537995,10.125501576961375,2.1029339581228843,-1.782623816794286,0.6121613275221914,0.0,0.029227203856214013
